Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Industry Groups,CB Rank (Company)
Rocket Lab,https://www.crunchbase.com/organization/rocket-lab,"Aerospace, Manufacturing, Software","Long Beach, California, United States","Rocket Lab is an aerospace company that specializes in satellite, rocket, and spacecraft design, construction, and launch operations.","Manufacturing, Science and Engineering, Software",147
VisionWave,https://www.crunchbase.com/organization/visionwave-9052,"3D Technology, Aerospace, Artificial Intelligence (AI)","West Hollywood, California, United States","VisionWave is a defense company offering developement of AI, aerospace engineering, Radio Frequency technology, and autonomous solutions.","Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",246
Archetype AI,https://www.crunchbase.com/organization/archetype-ai,"Artificial Intelligence (AI), Information Technology, Software","Palo Alto, California, United States",Archetype AI develops Physical AI agents that harness real-world sensor data to enhance decision-making and automate processes.,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",440
Waymo,https://www.crunchbase.com/organization/waymo,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Sensor, Transportation","Mountain View, California, United States",Waymo is a mobility technology company that improves transportation by developing self-driving solutions for travelers and daily commuters.,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation",607
EnduroSat,https://www.crunchbase.com/organization/endurosat,"Aerospace, Communication Hardware, Manufacturing, Satellite Communication, Software","Sofia, Grad Sofiya, Bulgaria",EnduroSat is a smallsat & CubeSat manufacturer that offers fixed-cost space services. Trusted by NASA & ESA with 120+ satellites delivered.,"Hardware, Manufacturing, Science and Engineering, Software",625
MatrixSpace,https://www.crunchbase.com/organization/matrixspace,"Artificial Intelligence (AI), Information Technology, Machine Learning, Remote Sensing","Burlington, Massachusetts, United States",MatrixSpace delivers AI-powered sensor and radar systems together with software for real-time situational awareness.,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",654
Redwire,https://www.crunchbase.com/organization/redwire-7625,"Manufacturing, Space Travel, Telecommunications","Jacksonville, Florida, United States","Redwire focuses on space commercialization, digitally engineered spacecraft, on-orbit service, assembly, and manufacturing.","Hardware, Manufacturing, Transportation",831
Hesai Technology,https://www.crunchbase.com/organization/hesai,"Autonomous Vehicles, Laser, Manufacturing, Sensor, Transportation","Shanghai, Shanghai, China",Hesai Technology is a designer and manufacturer of laser sensors for robots and self-driving cars.,"Hardware, Manufacturing, Science and Engineering, Transportation","1,017"
HackerOne,https://www.crunchbase.com/organization/hackerone,"Artificial Intelligence (AI), Computer, Cyber Security, Generative AI, Internet, Network Security","San Francisco, California, United States","A global leader in Continuous Threat Exposure Management—uniting AI and human intelligence to find, validate, and eliminate vulnerabilities.","Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software","1,591"
Muon Space,https://www.crunchbase.com/organization/muon-space,"Aerospace, Information Services, Information Technology","Mountain View, California, United States","Muon Space is a space systems company that designs, builds, and operates LEO satellite constellations for earth intelligence missions.","Information Technology, Science and Engineering","2,275"
Karman Space & Defense,https://www.crunchbase.com/organization/karman-space-defense,"Aerospace, Information Technology, Manufacturing, Space Travel","Huntington Beach, California, United States","Karman Space & Defense offers production solutions for hypersonics, spacecraft, launch vehicles, missiles, and integrated defense systems.","Information Technology, Manufacturing, Science and Engineering, Transportation","2,532"
Epsilon3,https://www.crunchbase.com/organization/epsilon3,"B2B, Information Technology, Productivity Tools, Software, Space Travel","Los Angeles, California, United States",Epsilon3 is the OS for spacecraft and complex operations.,"Information Technology, Other, Software, Transportation","2,825"
Fleet Space Technologies,https://www.crunchbase.com/organization/fleet-space-technologies,"Internet of Things, Mining Technology, Satellite Communication, Telecommunications","Adelaide, South Australia, Australia",Fleet is a space tech company that explores for critical minerals,"Hardware, Internet Services, Natural Resources","3,356"
Arbe,https://www.crunchbase.com/organization/arbe-robotics,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Financial Services, Semiconductor, Venture Capital","Tel Aviv-yafo, Tel Aviv, Israel",Arbe Robotics offers real time 4D imaging radar software for autonomous driving.,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Hardware, Lending and Investments, Science and Engineering, Software, Transportation","3,637"
True Anomaly,https://www.crunchbase.com/organization/true-anomaly,"Aerospace, Artificial Intelligence (AI), Manufacturing, Military, National Security","Centennial, Colorado, United States","True Anomaly is builds space security and resilience at the intersection of spacecraft, software, and autonomy.","Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Manufacturing, Science and Engineering, Software","4,025"
ICEYE,https://www.crunchbase.com/organization/iceye,"Aerospace, Information Technology, Remote Sensing, Satellite Communication","Espoo, Southern Finland, Finland","ICEYE operates a radar satellite constellation, providing all weather earth observation data and analytics for industries.","Hardware, Information Technology, Science and Engineering","4,155"
Quindar,https://www.crunchbase.com/organization/quindar,"Cloud Infrastructure, SaaS, Satellite Communication","Washington, District of Columbia, United States",Quindar offers a one-stop shop in the cloud for spacecraft analysis and operations.,"Hardware, Internet Services, Software","4,417"
Fortem Technologies,https://www.crunchbase.com/organization/fortem-technologies,"Aerospace, Air Transportation, Autonomous Vehicles, Drone Management, Mechanical Engineering","Pleasant Grove, Utah, United States","Fortem Technologies is a privately held, venture backed company that delivers ultra small C-SWAP radar to enable the autonomous revolution.","Hardware, Science and Engineering, Software, Transportation","4,729"
Hidden Level,https://www.crunchbase.com/organization/hidden-level,"Aerospace, National Security, Remote Sensing, Software","Syracuse, New York, United States",Hidden Level provides airspace monitoring and drone detection technologies for infrastructure and address national security threats.,"Government and Military, Hardware, Science and Engineering, Software","4,801"
Northrop Grumman,https://www.crunchbase.com/organization/northrop-grumman,"Aerospace, Data Integration, Manufacturing, Remote Sensing, Security","Falls Church, Virginia, United States","Northrop Grumman is an aerospace, defense and security company that provides training and satellite ground network communications software.","Data and Analytics, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Software","4,854"
SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,"Advanced Materials, Aerospace, Manufacturing, National Security, Space Travel","Hawthorne, California, United States","SpaceX is an aviation and aerospace company that designs, manufactures, and launches rockets and spacecraft.","Government and Military, Manufacturing, Science and Engineering, Transportation","5,273"
Echodyne,https://www.crunchbase.com/organization/echodyne,"Electronics, National Security, Sensor, Software","Kirkland, Washington, United States",Echodyne develops and manufactures meta-materials-based radar technologies.,"Consumer Electronics, Government and Military, Hardware, Software","5,288"
RADAR,https://www.crunchbase.com/organization/goradar,"Computer Vision, E-Commerce, Retail, RFID, Wireless","New York, New York, United States","RADAR is an RFID and computer vision platform that automates inventory management, analytics, and checkout in physical stores.","Commerce and Shopping, Hardware, Mobile, Software","5,353"
CSIRO,https://www.crunchbase.com/organization/csiro,"Consumer Research, Marine Technology, Market Research, Product Research","Campbell, Victoria, Australia",Commonwealth Scientific and Industrial Research Organization is a federal government agency for scientific research.,"Data and Analytics, Design, Science and Engineering","5,358"
HyperSpectral,https://www.crunchbase.com/organization/hyper-spectral,"Industrial, Medical, Quality Assurance, Software","Alexandria, Virginia, United States",Illuminating invisible threats through the power of SpecAI™,"Health Care, Manufacturing, Professional Services, Software","6,130"
TEKEVER,https://www.crunchbase.com/organization/tekever,"Aerospace, Information Technology, Military, Software","Lisboa, Lisboa, Portugal","The Tekever Group is a provider of innovative technologies in Software, Aerospace, Defence, and Security Markets.","Government and Military, Information Technology, Science and Engineering, Software","7,287"
Ursa Space Systems,https://www.crunchbase.com/organization/ursa-space-systems,"Analytics, Business Intelligence, Information Services, Predictive Analytics","Ithaca, New York, United States",Ursa Space Systems is a satellite intelligence company that provides data solutions and analytic services.,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Software","7,332"
Cairns Health,https://www.crunchbase.com/organization/totemic-labs,"Consumer Electronics, Elder Care, Health Care, Home Health Care","Los Angeles, California, United States","Cairns Health is a digital care companion for senior living and home care, integrating ambient sensing, AI, and LLMs to empower patients.","Consumer Electronics, Hardware, Health Care","7,438"
Capella Space,https://www.crunchbase.com/organization/capella-space,"Aerospace, Geospatial, Image Recognition, Information Services","San Francisco, California, United States",Capella Space is an information services company that provides on-demand 24/7 SAR data for government and commercial customers.,"Data and Analytics, Information Technology, Navigation and Mapping, Science and Engineering, Software","7,611"
Oxa,https://www.crunchbase.com/organization/oxbotica-ltd,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Insurance, InsurTech, Software","Oxford, Oxfordshire, United Kingdom",Oxa is a software development firm that offers autonomous vehicle software for businesses.,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software, Transportation","7,728"
